domain,role,required_skills,tools,avg_salary_lpa,job_demand,months_to_ready,description
Technology,Data Scientist,"Python,Statistics,Machine Learning,SQL,Data Visualization","Pandas,Scikit-learn,Tableau,Jupyter",12,High,8,Analyse large datasets to find patterns and build predictive models
Technology,Web Developer,"HTML,CSS,JavaScript,React,Node.js,Git","VS Code,GitHub,Figma,Postman",8,Very High,5,Build websites and web applications for businesses and users
Technology,AI/ML Engineer,"Python,Deep Learning,Neural Networks,Math,Cloud","TensorFlow,PyTorch,AWS,Docker",18,Very High,12,Design and build artificial intelligence systems and models
Technology,Cybersecurity Analyst,"Networking,Linux,Ethical Hacking,Cryptography,Risk Analysis","Kali Linux,Wireshark,Metasploit",10,High,9,Protect systems and networks from cyber threats and attacks
Technology,Cloud Engineer,"AWS,Linux,Networking,Python,DevOps","AWS,Azure,Terraform,Docker,Kubernetes",14,Very High,8,Build and manage cloud infrastructure for companies
Technology,Mobile App Developer,"Java,Kotlin,Swift,Flutter,UI Design","Android Studio,Xcode,Firebase",9,High,7,Create apps for Android and iOS smartphones
Design,UI/UX Designer,"Figma,Wireframing,User Research,Prototyping,Typography","Figma,Adobe XD,Miro,InVision",7,High,4,Design user-friendly interfaces and experiences for apps and websites
Design,Graphic Designer,"Adobe Photoshop,Illustrator,Typography,Color Theory,Branding","Adobe Photoshop,Illustrator,InDesign",5,Medium,3,Create visual content for brands including logos posters and media
Design,Motion Designer,"After Effects,Animation,Storyboarding,Illustrator","Adobe After Effects,Cinema 4D,Blender",8,Medium,6,Create animated content for films ads and digital media
Design,Fashion Designer,"Sketching,Textile Knowledge,Pattern Making,Trend Analysis","CorelDRAW,Adobe Illustrator,Clo3D",6,Low,24,Design clothing collections and work with manufacturers
Design,Product Designer,"Design Thinking,Prototyping,User Research,3D Modeling","Figma,SolidWorks,KeyShot",9,High,6,Design physical or digital products from concept to final output
Engineering,Civil Engineer,"AutoCAD,Structural Analysis,Surveying,Soil Mechanics,Project Management","AutoCAD,STAAD Pro,Revit",6,Medium,48,Design and oversee construction of buildings bridges roads and infrastructure
Engineering,Mechanical Engineer,"Thermodynamics,CAD,Manufacturing,Fluid Mechanics,Material Science","SolidWorks,ANSYS,AutoCAD",7,Medium,48,Design machines engines and mechanical systems
Engineering,Electrical Engineer,"Circuit Design,Power Systems,Electronics,MATLAB,Embedded Systems","MATLAB,AutoCAD Electrical,Proteus",7,Medium,48,Design electrical systems for buildings vehicles and electronics
Engineering,Robotics Engineer,"Python,C++,ROS,Mechanics,Electronics,Control Systems","ROS,MATLAB,SolidWorks,Arduino",12,High,12,Build and program robots for manufacturing healthcare and research
Engineering,Environmental Engineer,"Environmental Science,AutoCAD,GIS,Water Treatment,Policy","ArcGIS,AutoCAD,MATLAB",6,Medium,48,Solve environmental problems related to water air and land
Business,MBA Manager,"Business Strategy,Leadership,Finance,Marketing,Analytics","Excel,PowerPoint,Tableau,SAP",12,High,24,Lead teams and drive business strategy in corporate organisations
